!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
2.05 2.10 -1513.400852 149.70 -447.43 -150.98 -465.29 -151.14 1.12 0.96 !! methanol-attack/methanol-attack.txt
2.05 2.15 -1513.401653 149.20 -446.27 -149.82 -464.72 -150.57 1.78 1.03 !! methanol-attack/methanol-attack.txt
2.05 2.20 -1513.402127 148.90 -445.07 -148.62 -464.17 -150.02 2.68 1.28 !! methanol-attack/methanol-attack.txt
2.05 2.25 -1513.402412 148.72 -443.37 -146.92 -463.69 -149.54 4.20 1.58 !! methanol-attack/methanol-attack.txt
2.05 2.30 -1513.402568 148.62 -442.26 -145.81 -462.66 -148.51 5.21 2.51 !! methanol-attack/methanol-attack.txt
2.05 2.35 -1513.402659 148.57 -441.04 -144.59 -462.39 -148.24 6.38 2.73 !! methanol-attack/methanol-attack.txt
2.05 2.40 -1513.402744 148.51 -439.79 -143.34 -462.32 -148.17 7.57 2.74 !! methanol-attack/methanol-attack.txt
2.05 2.45 -1513.402861 148.44 -438.41 -141.96 -461.90 -147.75 8.88 3.09 !! methanol-attack/methanol-attack.txt
2.05 2.50 -1513.403044 148.33 -437.58 -141.13 -461.07 -146.92 9.60 3.81 !! methanol-attack/methanol-attack.txt
2.05 2.55 -1513.403266 148.19 -436.16 -139.71 -460.88 -146.73 10.88 3.86 !! methanol-attack/methanol-attack.txt
2.05 2.60 -1513.403551 148.01 -435.98 -139.53 -460.21 -146.06 10.88 4.35 !! methanol-attack/methanol-attack.txt
2.05 2.65 -1513.403914 147.78 -435.11 -138.66 -460.03 -145.88 11.52 4.30 !! methanol-attack/methanol-attack.txt
2.05 2.70 -1513.404362 147.50 -434.44 -137.99 -459.52 -145.37 11.91 4.53 !! methanol-attack/methanol-attack.txt
2.05 2.75 -1513.404897 147.16 -433.64 -137.19 -458.92 -144.77 12.37 4.79 !! methanol-attack/methanol-attack.txt
2.05 2.80 -1513.405529 146.77 -432.91 -136.46 -458.52 -144.37 12.71 4.80 !! methanol-attack/methanol-attack.txt
2.05 2.85 -1513.406254 146.31 -432.12 -135.67 -458.00 -143.85 13.04 4.86 !! methanol-attack/methanol-attack.txt
